name,state,area,date gazetted,latitude,longitude
Adelaide,SA,86,20 July 2018,-34.907,138.602
Aston,VIC,113,13 July 2018,-37.892,145.24
Ballarat,VIC,4322,13 July 2018,-37.516,144.066
Banks,NSW,53,25 February 2016,-33.967,151.066
Barker,SA,65206,20 July 2018,-35.532,140.204
Barton,NSW,40,25 February 2016,-33.956,151.129
Bass,TAS,7975,14 November 2017,-41.13,147.616
Bean,ACT,1913,13 July 2018,-35.3452,149.0950
Bendigo,VIC,5496,13 July 2018,-36.901,144.182
Bennelong,NSW,60,25 February 2016,-33.793,151.099
Berowra,NSW,786,25 February 2016,-33.568, 151.047
Blair,,,,-35.297,149.1372
Blaxland,,,,-35.297,149.1372
Bonner,,,,-35.297,149.1372
Boothby,,,,-35.297,149.1372
Bowman,,,,-35.297,149.1372
Braddon,,,,-35.297,149.1372
Bradfield,,,,-35.297,149.1372
Brand,,,,-35.297,149.1372
Brisbane,,,,-35.297,149.1372
Bruce,,,,-35.297,149.1372
Burt,,,,-35.297,149.1372
Calare,,,,-35.297,149.1372
Calwell,,,,-35.297,149.1372
Canberra,,,,-35.297,149.1372
Canning,,,,-35.297,149.1372
Capricornia,,,,-35.297,149.1372
Casey,,,,-35.297,149.1372
Chifley,,,,-35.297,149.1372
Chisholm,,,,-35.297,149.1372
Clark,,,,-35.297,149.1372
Cook,,,,-35.297,149.1372
Cooper,,,,-35.297,149.1372
Corangamite,,,,-35.297,149.1372
Corio,,,,-35.297,149.1372
Cowan,,,,-35.297,149.1372
Cowper,,,,-35.297,149.1372
Cunningham,,,,-35.297,149.1372
Curtin,,,,-35.297,149.1372
Dawson,,,,-35.297,149.1372
Deakin,,,,-35.297,149.1372
Dickson,,,,-35.297,149.1372
Dobell,,,,-35.297,149.1372
Dunkley,,,,-35.297,149.1372
Durack,,,,-35.297,149.1372
Eden-Monaro,,,,-35.297,149.1372
Fadden,,,,-35.297,149.1372
Fairfax,,,,-35.297,149.1372
Farrer,,,,-35.297,149.1372
Fenner,,,,-35.297,149.1372
Fisher,,,,-35.297,149.1372
Flinders,,,,-35.297,149.1372
Flynn,,,,-35.297,149.1372
Forde,,,,-35.297,149.1372
Forrest,,,,-35.297,149.1372
Fowler,,,,-35.297,149.1372
Franklin,,,,-35.297,149.1372
Fraser,,,,-35.297,149.1372
Fremantle,,,,-35.297,149.1372
Gellibrand,,,,-35.297,149.1372
Gilmore,,,,-35.297,149.1372
Gippsland,,,,-35.297,149.1372
Goldstein,,,,-35.297,149.1372
Gorton,,,,-35.297,149.1372
Grayndler,,,,-35.297,149.1372
Greenway,,,,-35.297,149.1372
Grey,,,,-35.297,149.1372
Griffith,,,,-35.297,149.1372
Groom,,,,-35.297,149.1372
Hasluck,,,,-35.297,149.1372
Herbert,,,,-35.297,149.1372
Higgins,,,,-35.297,149.1372
Hindmarsh,,,,-35.297,149.1372
Hinkler,,,,-35.297,149.1372
Holt,,,,-35.297,149.1372
Hotham,,,,-35.297,149.1372
Hughes,,,,-35.297,149.1372
Hume,,,,-35.297,149.1372
Hunter,,,,-35.297,149.1372
Indi,,,,-35.297,149.1372
Isaacs,,,,-35.297,149.1372
Jagajaga,,,,-35.297,149.1372
Kennedy,,,,-35.297,149.1372
Kingsford Smith,,,,-35.297,149.1372
Kingston,,,,-35.297,149.1372
Kooyong,,,,-35.297,149.1372
La Trobe,,,,-35.297,149.1372
Lalor,,,,-35.297,149.1372
Leichhardt,,,,-35.297,149.1372
Lilley,,,,-35.297,149.1372
Lindsay,,,,-35.297,149.1372
Lingiari,,,,-35.297,149.1372
Longman,,,,-35.297,149.1372
Lyne,,,,-35.297,149.1372
Lyons,,,,-35.297,149.1372
Macarthur,,,,-35.297,149.1372
Mackellar,,,,-35.297,149.1372
Macnamara,,,,-35.297,149.1372
Macquarie,,,,-35.297,149.1372
Makin,,,,-35.297,149.1372
Mallee,,,,-35.297,149.1372
Maranoa,,,,-35.297,149.1372
Maribyrnong,,,,-35.297,149.1372
Mayo,,,,-35.297,149.1372
McEwen,,,,-35.297,149.1372
McMahon,,,,-35.297,149.1372
McPherson,,,,-35.297,149.1372
Melbourne,,,,-35.297,149.1372
Menzies,,,,-35.297,149.1372
Mitchell,,,,-35.297,149.1372
Monash,,,,-35.297,149.1372
Moncrieff,,,,-35.297,149.1372
Moore,,,,-35.297,149.1372
Moreton,,,,-35.297,149.1372
New England,,,,-35.297,149.1372
Newcastle,,,,-35.297,149.1372
Nicholls,,,,-35.297,149.1372
North Sydney,,,,-35.297,149.1372
O'Connor,,,,-35.297,149.1372
Oxley,,,,-35.297,149.1372
Page,,,,-35.297,149.1372
Parkes,,,,-35.297,149.1372
Parramatta,,,,-35.297,149.1372
Paterson,,,,-35.297,149.1372
Pearce,,,,-35.297,149.1372
Perth,,,,-35.297,149.1372
Petrie,,,,-35.297,149.1372
Rankin,,,,-35.297,149.1372
Reid,,,,-35.297,149.1372
Richmond,,,,-35.297,149.1372
Riverina,,,,-35.297,149.1372
Robertson,,,,-35.297,149.1372
Ryan,,,,-35.297,149.1372
Scullin,,,,-35.297,149.1372
Shortland,,,,-35.297,149.1372
Solomon,,,,-35.297,149.1372
Spence,,,,-35.297,149.1372
Stirling,,,,-35.297,149.1372
Sturt,,,,-35.297,149.1372
Swan,,,,-35.297,149.1372
Sydney,,,,-35.297,149.1372
Tangney,,,,-35.297,149.1372
Wannon,,,,-35.297,149.1372
Warringah,,,,-35.297,149.1372
Watson,,,,-35.297,149.1372
Wentworth,,,,-35.297,149.1372
Werriwa,,,,-35.297,149.1372
Whitlam,,,,-35.297,149.1372
Wide Bay,,,,-35.297,149.1372
Wills,,,,-35.297,149.1372
Wright,,,,-35.297,149.1372
